,Query,Document,Relevance Actual,Relevance Predicted
0,At about what age do adults normally begin to lose bone mass?,"Why Is Lifting Weights Good for You? How Does a Fractured Finger Heal? How to Lose the Flab After Losing Weight. Share on Facebook. Your bones provide a framework for your body -- and the stronger your framework, the less likely you are to experience painful bone breaks. As you age, you start to lose bone mass.",0,7.0
1,At about what age do adults normally begin to lose bone mass?,このサイトは「ととのうみすと」の口コミや効果について紹介します。. 30代になると肌のハリも透明感もなくなりませんか…. 加齢でホルモンバランスが崩れて肌が荒れる…. 仕事が忙しく、スキンケアに使う時間がない…. 「あれ？. 私こんなに老けてたっけ？. 」と鏡で自分の顔を見てゾッとしている。. スキンケアをきちんとする人としない人では将来の肌に差がでます。. スキンケアを怠り、恋愛に消極的になったり….,0,0.0
2,At about what age do adults normally begin to lose bone mass?,"During childhood and early adulthood, more bone is produced than removed, reaching its maximum mass and strength by the mid-30s. After that, bone is lost at a faster pace than it is formed, so the amount of bone in the skeleton begins to slowly decline.",3,9.0
3,At about what age do adults normally begin to lose bone mass?,"They have smaller, thinner bones than men to begin with, and they lose bone mass more rapidly after menopause (usually around age 50), when they stop producing a bone-protecting hormone called estrogen. In the five to seven years following menopause, women can lose about 20% of their bone mass.",1,10.0
4,At about what age do adults normally begin to lose bone mass?,"By age 65 or 70, though, men and women lose bone mass at the same rate. As an increasing number of men reach an older age, there is more awareness that osteoporosis is an important health issue for them as well.",1,8.0
5,At about what age do adults normally begin to lose bone mass?,"During childhood and early adulthood, more bone is produced than removed, reaching its maximum mass and strength by the mid-30s. After that, bone is lost at a faster pace than it is formed, so the amount of bone in the skeleton begins to slowly decline.",3,9.0
6,At about what age do adults normally begin to lose bone mass?,"They have smaller, thinner bones than men to begin with, and they lose bone mass more rapidly after menopause (usually around age 50), when they stop producing a bone-protecting hormone called estrogen. In the five to seven years following menopause, women can lose about 20% of their bone mass.",1,10.0
7,At about what age do adults normally begin to lose bone mass?,"By age 65 or 70, though, men and women lose bone mass at the same rate. As an increasing number of men reach an older age, there is more awareness that osteoporosis is an important health issue for them as well.",1,8.0
8,At about what age do adults normally begin to lose bone mass?,แทงบอล เว็บแทงบอล ที่ดีที่สุด สมัครแทงบอลรับโบนัสพิเศษ 30% สูงสุด 3000 บาท. แทงบอล หรือ แทงบอลออนไลน์ นั้น เป็นการที่เว็บพนันได้นำการแข่งขันบอล มาเป็นการต่อรองในรูปแบบการพนันมี การแทงบอล สองฝั่งแต่จะมีค่าน้ำ หรือ ราคาต่อรอง ของแต่ละคู่ แต่การแทงบอลนั้นก็ต้องมี สถิติบอล และ การวิเคราะห์ก่อนที่จะแทงบอลด้วย ถ้าดูเผินๆ ก้อาจจะง่ายในหารเล่นแทงบอล แต่จริงๆ แล้วผู้เล่น หรือ คนที่ชอบแทงบอลและคนที่เก่งๆ นั้นเค้าต้อง วิเคาระห์ ทำสถิติ ในหลากหลายรูปแบบก่อนที่ จะมาแทงจริง.,0,0.0
9,At about what age do adults normally begin to lose bone mass?,"Our bone continues to grow bigger and stronger until about the age of 30 when it reaches its peak. From that point on, our bone starts to lose its mineral content (bone mineral density) and structural strength. Bone formation ossification throughout different stages in your life. Osteoporosis.",3,8.0
